1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
201235_s_at,2,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201236_s_at,8,4,8,2,3,1,7,1,3,3,1,3,1,8,1
201237_at,5,2,6,1,8,8,6,4,7,1,2,7,4,1,7
201238_s_at,2,2,3,1,8,8,2,4,7,1,2,7,4,6,8
201239_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201240_s_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201241_at,8,4,4,2,3,1,6,1,3,3,1,3,1,8,7
201242_s_at,8,6,4,7,2,3,6,1,3,8,1,3,1,8,7
201243_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201244_s_at,5,2,4,2,2,8,6,4,7,1,2,7,4,1,7
201245_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201246_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201247_at,5,4,4,2,3,1,7,1,3,3,1,3,1,8,7
201248_s_at,2,2,4,1,2,8,6,4,7,1,2,7,4,1,7
201249_at,1,6,2,7,6,3,5,5,8,8,4,1,5,5,5
201250_s_at,1,1,2,8,5,7,1,5,8,7,4,1,5,5,4
201251_at,1,1,3,8,5,7,1,5,8,7,4,1,5,6,4
201252_at,5,4,4,2,3,1,7,1,3,3,1,3,1,8,7
