1,2,3,4,5,6,7,8,9,10
200870_at,5,4,4,9,3,8,3,7,9,8
200871_s_at,3,7,1,2,10,10,8,10,1,4
200872_at,6,8,10,10,10,4,6,10,3,4
200873_s_at,7,6,2,7,5,1,10,8,7,6
200874_s_at,7,1,2,8,5,1,1,8,8,6
200875_s_at,7,6,2,7,5,1,10,8,7,6
200876_s_at,4,5,5,10,10,9,2,10,3,7
200877_at,7,1,2,8,5,1,1,8,8,6
200878_at,3,8,5,10,10,4,6,10,3,4
200879_s_at,7,6,2,7,5,1,10,8,7,6
200880_at,7,6,2,7,7,1,10,2,7,5
200881_s_at,3,7,1,2,7,10,8,2,1,5
200882_s_at,6,4,7,6,3,4,3,7,6,8
200883_at,3,7,1,2,7,10,8,2,1,5
200884_at,6,8,7,6,5,4,6,8,6,4
200885_at,7,6,2,7,7,1,10,2,7,5
200886_s_at,6,8,7,6,3,4,6,7,6,4
200887_s_at,6,8,7,6,10,4,6,10,6,4
200888_s_at,6,8,7,6,3,4,6,7,6,8
200889_s_at,4,5,5,4,2,9,2,3,5,7
200890_s_at,3,7,7,2,10,10,8,10,1,4
200891_s_at,3,7,1,2,7,10,8,2,1,5
200892_s_at,7,8,7,6,5,1,6,8,6,4
200893_at,3,7,1,2,7,10,8,2,1,5
200894_s_at,7,6,2,7,5,1,10,8,7,6
200895_s_at,3,7,1,2,7,10,8,2,1,5
200896_x_at,4,5,5,10,2,9,2,3,3,7
200897_s_at,6,8,7,6,3,4,6,7,6,8
200898_s_at,3,7,1,2,10,10,8,10,1,4
200899_s_at,5,4,4,9,3,8,3,7,9,8
200900_s_at,7,6,2,7,5,1,10,8,7,6
200901_s_at,6,4,10,9,3,4,3,7,9,8
200902_at,6,8,7,6,10,4,6,10,6,4
200903_s_at,7,6,2,7,7,1,10,2,7,5
200904_at,7,1,2,8,5,1,1,8,8,6
200905_x_at,3,7,1,2,7,10,8,2,1,4
200906_s_at,6,8,10,10,10,4,6,10,3,4
