1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
210827_s_at,13,12,8,12,3,5,18,1,5,20,11,7,16,17,10,10,7,11,8,17
210828_s_at,13,15,11,12,20,5,19,1,3,7,5,13,9,18,18,4,12,2,9,4
210829_s_at,5,20,4,12,3,5,5,1,2,14,2,7,8,14,8,10,19,12,12,4
210830_s_at,13,13,8,17,19,9,20,16,5,17,4,2,1,12,3,6,17,19,7,7
210831_s_at,17,12,3,6,4,5,18,1,15,20,11,7,18,16,10,10,7,11,8,17
210832_x_at,19,5,19,4,15,17,2,14,16,15,14,19,11,19,20,3,20,6,19,5
210833_at,4,5,18,4,6,17,11,14,16,15,14,19,11,19,4,9,20,6,14,5
210834_s_at,18,20,1,14,17,11,5,18,13,10,2,8,8,14,13,16,19,12,12,12
210835_s_at,13,13,11,17,19,9,20,16,5,7,11,2,9,18,18,4,17,2,9,7
210836_x_at,13,13,11,17,19,9,20,16,5,7,4,2,9,18,18,4,17,2,9,7
