1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
200737_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200738_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200739_s_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200740_s_at,4,5,5,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200741_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200742_s_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200743_s_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200744_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200745_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200746_s_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200747_s_at,4,5,5,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200748_s_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200749_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200750_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200751_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200752_s_at,4,5,4,1,1,3,5,4,4,3,4,3,4,3,5,3,5
200753_x_at,4,5,4,1,1,2,5,4,4,3,2,3,4,4,5,3,5
200754_x_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200755_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200756_x_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200757_s_at,4,5,4,1,1,2,5,4,4,3,2,3,4,4,5,3,5
200758_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200759_x_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200760_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200761_s_at,4,5,5,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200762_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200763_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200764_s_at,2,2,5,5,3,1,2,1,1,2,5,2,3,1,1,1,2
200765_x_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200766_at,1,4,2,5,2,2,3,4,1,2,2,5,4,4,5,3,5
200767_s_at,2,2,5,2,3,1,2,1,3,5,5,2,3,1,1,1,2
200768_s_at,4,4,4,1,1,2,3,4,4,3,2,5,4,4,5,3,5
200769_s_at,1,2,5,5,2,1,2,4,1,2,5,5,3,1,1,3,2
200770_s_at,1,2,2,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200771_at,1,4,2,5,2,2,3,4,1,2,2,5,3,4,1,3,2
200772_x_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,1,2
200773_x_at,1,2,5,1,1,1,2,4,4,2,5,3,1,1,3,3,1
200774_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200775_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200776_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200777_s_at,4,5,4,1,1,3,5,4,4,3,2,3,4,3,5,3,5
200778_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200779_at,1,2,5,5,2,1,2,4,1,2,1,5,3,1,1,3,2
200780_x_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200781_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200782_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200783_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200784_s_at,1,4,2,5,2,2,3,4,1,2,1,5,3,4,1,3,2
200785_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200786_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200787_s_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200788_s_at,4,2,5,1,1,1,2,4,4,3,5,3,1,1,3,3,1
200789_at,4,5,4,1,1,3,5,4,4,3,4,3,1,3,3,3,1
200790_at,4,5,5,1,1,3,5,4,4,3,4,3,1,3,3,3,1
